Code du Terme;Descripteur en majuscules;Descripteur en typo riche;Champ sémantique;Synonymes;Synonymes métier;TG (Terme Générique);TS (Termes Spécifiques);TA (Termes Associés);NE (Note d’Explication);NA (Note d’Application);Note de version;ex-synonyme V-1;Code arborescence
15067;CARTE HEURISTIQUE;Carte heuristique;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;carte mentale###langage heuristique###langage visuel###mind map###mind mapping###schéma heuristique;;Efficacité personnelle - 15066;;;Outil visuel d'usage personnel ou collectif, utile à la prise de notes, la recherche d'idées, l'élaboration d'un plan, l'apprentissage, la révision, la mémorisation, l'oral, la valorisation des idées ou d'une présentation.;Employé pour les formations à l'élaboration de cartes heuristiques.;;;A0A0A5A1
15098;CREATIVITE PERSONNELLE;Créativité personnelle;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;;;Efficacité personnelle - 15066;;;;Employé pour les formations d'aide au développement des facultés imaginatives.;;;A0A0A5A2
15096;DEVELOPPEMENT MEMOIRE;Développement mémoire;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;amélioration mémoire###mémorisation###travail mémoire;;Efficacité personnelle - 15066;;;;Employé pour les formations qui tendent à améliorer les performances de la mémoire.;;;A0A0A5A3
15016;GESTION CONFLIT;Gestion conflit;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;gestion conflit interpersonnel###gestion personnalité complexe###gestion personnalité difficile###gestion violence;;Efficacité personnelle - 15066;;Conflit social - 33049###Gestion conflit - 15016###Médiation entreprise - 33020###QVCT - 42890###Risque psychosocial - 33053;;Employé pour les formations à la gestion des conflits interpersonnels dans la vie personnelle ou professionnelle. Pour les formations à la gestion des conflits entre employeurs et salariés, employer [[CONFLIT SOCIAL]] 33049.;;;A0A0A5A4
15097;GESTION STRESS;Gestion stress;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;;;Efficacité personnelle - 15066;;Gestion stress - 15097###Risque psychosocial - 33053;;Ne pas confondre avec [[RISQUE PSYCHOSOCIAL]] 33053.;;;A0A0A5A5
15068;GESTION TEMPS;Gestion temps;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;gestion priorités###gestion temps télétravail;;Efficacité personnelle - 15066;;Coordination travail - 32068###Gestion temps - 15068###Organisation travail - 31637###Télétravail - 33096;Technique permettant d'accroître la maîtrise de son temps et de mieux gérer son travail personnel.;Ne pas confondre avec [[ORGANISATION TRAVAIL]] 31637.;;;A0A0A5A6
15078;INTELLIGENCE EMOTIONNELLE;Intelligence émotionnelle;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;gestion émotions;;Efficacité personnelle - 15066;;;Capacité à gérer intelligemment ses émotions et sentiments, ainsi que ceux des autres.;Employé pour les formations destinées aux personnes désirant apprendre à connaître et maîtriser leurs émotions, mieux comprendre leurs réactions et celles des autres, développer leurs aptitudes émotionnelles.;;;A0A0A5A7
15036;LECTURE RAPIDE;Lecture rapide;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;lecture dynamique###lecture sélective###méthode Richaudeau;;Efficacité personnelle - 15066;;;Acquisition de méthodes de visualisation et de mémorisation d'un texte pour une lecture active, aisée, organisée et performante.;;;;A0A0A5A8
15069;ORGANISATION PERSONNELLE;Organisation personnelle;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;;;Efficacité personnelle - 15066;;;;Employé pour les formations visant à améliorer l'organisation de son travail ou de ses tâches personnelles. Pour les formations spécifiques à la gestion du temps et des priorités, employer [[GESTION TEMPS]] 15068.;;;A0A0A5A9
15089;RAISONNEMENT LOGIQUE;Raisonnement logique;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;;;Efficacité personnelle - 15066;;Raisonnement logique - 15089###Éducabilité cognitive - 44571;;Employé pour les formations visant à développer sa capacité individuelle de raisonnement logique. Pour les formations destinées aux formateurs, employer [[ÉDUCABILITÉ COGNITIVE]] 44571 ou l'un de ses spécifiques.;;;A0A0A5B0
15099;RESOLUTION PROBLEME;Résolution problème;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;analyse problème;;Efficacité personnelle - 15066;;Design thinking - 32069###Résolution problème - 15099;Technique facilitant la prise de décision par l'acquisition d'une méthode de raisonnement afin d'analyser les problèmes.;;;;A0A0A5B1
15014;SAVOIR-ETRE;Savoir-être;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;compétences douces###intelligence comportementale###soft skills;;Efficacité personnelle - 15066;;;Ensemble de qualités professionnelles qui reflètent la manière dont on se comporte dans un environnement professionnel.;;;;A0A0A5B2
15079;VALORISATION IMAGE DE SOI;Valorisation image de soi;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;conseil image de soi###image personnelle###image professionnelle###look###marketing personnel###marque personnelle###marque professionnelle###personal branding###professional branding###relooking;conseiller en image personnelle###conseillère en image personnelle###consultant personal branding###consultante personal branding;Efficacité personnelle - 15066;;E-réputation - 46330###Valorisation image de soi - 15079;;Employé pour les formations à l'amélioration de son image personnelle ou professionnelle (attitude, gestes, voix, style, vêtements, etc.). Également employé pour la formation des conseillers dans ces domaines. Pour les formations à la gestion et au contrôle de son image sur internet, employer [[E-RÉPUTATION]] 46330.;;;A0A0A5B3
15020;EVALUATION PERSONNALITE;Évaluation personnalité;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;MBTI###Myers Briggs type indicator###PCM###process communication management;;Efficacité personnelle - 15066;;Méthodologie évaluation - 14284###Évaluation personnalité - 15020###Évaluation personnel - 33092;;Employé pour les formations aux différents outils, méthodes, systèmes d'évaluation et d'étude de la personnalité et de la connaissance de soi. Ne pas confondre avec [[ÉVALUATION PERSONNEL]] 33092.;;;A0A0A5B4
15091;GESTION CARRIERE PERSONNELLE;Gestion carrière personnelle;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;changement professionnel###outplacement###évolution carrière senior###évolution professionnelle;;Développement professionnel et personnel - 15054;;GEPP - 33091###Gestion carrière personnelle - 15091###Intégration salarié - 33072###Plan développement compétences - 44508###Technique orientation professionnelle - 44595;;Employé pour les formations destinées aux personnes en situation d'emploi souhaitant organiser ou mieux vivre leur évolution professionnelle. Pour les formations destinées aux services ressources humaines, employer [[GEPP]] 33091.;;;A0A0A6
15022;LUTTE CONTRE L'ILLETTRISME;Lutte contre l'illettrisme;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;illettrisme;;Développement professionnel et personnel - 15054;;Lutte contre l'illettrisme - 15022###Public en situation d'illettrisme - 81019###Pédagogie illettrisme - 44501;Désigne la formation des personnes qui, après avoir été scolarisées en France, n’ont pas acquis une maîtrise suffisante de la lecture, de l’écriture, du calcul, des compétences de base, pour être autonomes dans les situations simples de la vie courante. Il s’agit pour elles de réapprendre, de renouer avec la culture de l’écrit, avec les formations de base.<br>;Ne pas confondre avec [[ALPHABÉTISATION]] 15043.;;;A0A0A7
15041;MISE A NIVEAU;Mise à niveau;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;Culture générale###formation de base###perfectionnement de base###savoirs de base;;Développement professionnel et personnel - 15054;Calcul mise à niveau - 15030###Mise à niveau numérique - 15050;;;Employé pour les formations pluridisciplinaires de base. Pour les formations de mise à niveau spécifique à une matière, employer un descripteur plus précis. Pour les formations destinées aux personnes non francophones, employer [[FRANÇAIS MISE A NIVEAU]] 15281.;;;A0A0A8
15030;CALCUL MISE A NIVEAU;Calcul mise à niveau;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;;;Mise à niveau - 15041;;Calcul mise à niveau - 15030###Mathématiques mise à niveau - 11083;;"Employé pour les formations de remise à niveau des connaissances 
élémentaires en calcul notamment les quatre opérations de base ; sinon, 
employer [[MATHÉMATIQUES MISE À NIVEAU]] 11083.";;;A0A0A8A0
15050;MISE A NIVEAU NUMERIQUE;Mise à niveau numérique;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;mise à niveau technologique###utilisation smartphone###utilisation tablette numérique###utilisation tablette tactile;;Mise à niveau - 15041;Découverte ordinateur - 15051###Sensibilisation internet - 15032;;;Employé pour les formations à l'adaptation aux technologies numériques.;;;A0A0A8A1
15051;DECOUVERTE ORDINATEUR;Découverte ordinateur;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;découverte Mac###découverte PC###découverte informatique###familiarisation informatique###familiarisation ordinateur###sensibilisation informatique###sensibilisation ordinateur;;Mise à niveau numérique - 15050;Bureautique - 15052;;;Employé pour les formations permettant de se familiariser avec le matériel (souris, clavier, etc.) et l'environnement informatiques (commandes de base, emplacement des éléments, fonctionnement, installations, etc.) quel que soit la marque ou le système d'exploitation.;;;A0A0A8A1A0
15052;BUREAUTIQUE;Bureautique;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;bureautique initiation;;Découverte ordinateur - 15051;;Bureautique - 15052###Gestion parc informatique - 31081;;Employé pour les formations destinées aux utilisateurs non informaticiens souhaitant acquérir des connaissances générales en bureautique. Pour les formations préparant aux fonctions de secrétaire ou assistant, employer [[SECRÉTARIAT ASSISTANAT]] 35054. Pour l'apprentissage d'un logiciel particulier, se reporter à la liste LOGICIELS/OUTILS/APPLICATIONS/SERVICES 700. Pour les formations permettant de se familiariser avec le matériel et l'environnement informatiques, employer [[DÉCOUVERTE ORDINATEUR]] 15051.;;;A0A0A8A1A0A0
15032;SENSIBILISATION INTERNET;Sensibilisation internet;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;consultation internet###consultation internet###initiation internet###initiation intranet###interrogation internet###navigation internet;;Mise à niveau numérique - 15050;;;;"Employé pour les formations à l'utilisation d'internet. Pour les 
formations aux logiciels de navigation sur internet, employer un 
descripteur de la liste LOGICIELS/OUTILS/APPLICATIONS/SERVICES 700.";;;A0A0A8A1A1
15064;PREPARATION VAE;Préparation VAE;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;démarche VAE;;Développement professionnel et personnel - 15054;;Architecte accompagnateur parcours VAE - 44591###Préparation VAE - 15064;;Employé pour les formations des personnes engagées dans une démarche de VAE. Pour les formations destinées aux professionnels de l'accompagnement à la VAE, employer [[ARCHITECTE ACCOMPAGNATEUR PARCOURS VAE]] 44591.;;;A0A0A9
15084;PREPARATION ENTREE FORMATION;Préparation entrée formation;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;préformation###préqualification;;Développement professionnel et personnel - 15054;;;Formation ayant pour but la remise à niveau nécessaire pour accéder à une autre formation.;;;;A0A0B0
15073;PREPARATION EXAMEN CONCOURS;Préparation examen concours;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;préparation examen bancaire;;Développement professionnel et personnel - 15054;Préparation entrée grande école - 15094###Préparation entrée université - 15093;Préparation concours paramédical - 43409###Préparation concours social - 44002###Préparation examen concours - 15073###Préparation examen concours fonction publique - 13030;;Employé pour toutes les préparations d'examen ou concours à l'exception de celles pour lesquelles un descripteur existe.;;;A0A0B1
15094;PREPARATION ENTREE GRANDE ECOLE;Préparation entrée grande école;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;;;Préparation examen concours - 15073;;;;;;;A0A0B1A0
15093;PREPARATION ENTREE UNIVERSITE;Préparation entrée université;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;;;Préparation examen concours - 15073;;;;Employé pour les formations sanctionnées par le diplôme d'accès aux études universitaires ([[DAEU]] 50488).;;;A0A0B1A1
15048;PREPARATION RETRAITE;Préparation retraite;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;;;Développement professionnel et personnel - 15054;;Préparation retraite - 15048###Retraite - 33004;;Employé pour les formations destinées aux personnes désirant se préparer à la retraite.;;;A0A0B2
15034;RELATION INTERPERSONNELLE;Relation interpersonnelle;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;communication non violente###méthode Thomas Gordon###relation humaine###relation personnelle###savoir-vivre;;Développement professionnel et personnel - 15054;Communication professionnelle - 15004###Expression corporelle - 15007###Expression orale - 15012###Expression écrite - 15011###Méthodologie négociation - 15005###PNL - 15013###Relation interculturelle - 15006###Écoute active - 15044;Analyse transactionnelle - 14498###Relation interpersonnelle - 15034;;Employé pour les formations destinées aux individus souhaitant développer leur capacité relationnelle. Pour les formations aux relations en situation d'encadrement, employer [[ENCADREMENT MANAGEMENT]] 32154 ou ses spécifiques.;;;A0A0B3
15004;COMMUNICATION PROFESSIONNELLE;Communication professionnelle;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;entretien communication###préparation entretien professionnel###préparation entretien évaluation;;Relation interpersonnelle - 15034;;Communication professionnelle - 15004###Conduite entretien - 33001###Conduite entretien professionnel - 33002###Conduite entretien évaluation - 33083###Conduite réunion - 32102###Évaluation personnel - 33092;;Employé pour les formations permettant de mieux communiquer dans la vie professionnelle (entretiens, etc.). Pour les formations à un entretien pour une recherche d'emploi, employer [[TECHNIQUE RECHERCHE EMPLOI]] 15070.;;;A0A0B3A0
15007;EXPRESSION CORPORELLE;Expression corporelle;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;communication non verbale###expression gestuelle###expression non verbale###langage corporel;;Relation interpersonnelle - 15034;;Danse - 45071###Expression corporelle - 15007###Mime - 45002###Thérapie corporelle - 14447;;Employé pour les formations destinées aux personnes souhaitant développer leur langage corporel afin de le mettre au service de leur communication verbale. Pour les formations concernant l'expression corporelle en tant qu'outil thérapeutique, employer [[THÉRAPIE CORPORELLE]] 14447.;;;A0A0B3A1
15012;EXPRESSION ORALE;Expression orale;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;technique oratoire;;Relation interpersonnelle - 15034;Expression média - 15003###Prise parole - 15002;Entretien téléphonique - 35050###Expression orale - 15012###Vente par téléphone - 34501;;Employé pour les formations au développement de ses capacités oratoires et de son potentiel vocal dans toutes les situations de la vie quotidienne (entretiens, réunions, présentations en public, etc.).;;;A0A0B3A2
15003;EXPRESSION MEDIA;Expression média;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;expression devant caméra###expression radio###media training;;Expression orale - 15012;;Expression média - 15003###Journalisme - 46325###Journalisme audiovisuel - 46306###Radio télévision - 46245###Relation presse média - 46310;;Employé pour les formations à la prise de parole devant un média audiovisuel (conférences, séminaires, interviews, débats, etc.).;;;A0A0B3A2A0
15002;PRISE PAROLE;Prise parole;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;prise parole en public;;Expression orale - 15012;;;;Employé pour toutes les formations à la prise de parole en public ou dans une réunion. Pour les formations axées sur la prise de parole devant la caméra ou à la radio, employer [[EXPRESSION MÉDIA]] 15003.;;;A0A0B3A2A1
15011;EXPRESSION ECRITE;Expression écrite;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;méthode SPRI###méthode situation problème résolution informations###technique rédactionnelle###écrit professionnel;;Relation interpersonnelle - 15034;Atelier écriture - 15021###Prise notes - 15001###Rapport - 15010###Rédaction message électronique - 15033###Synthèse - 15000###Écrivain public - 15018;Correspondance professionnelle - 35093###Expression écrite - 15011;;Employé pour les formations de perfectionnement à l'écrit professionnel et personnel. Ne pas confondre avec [[FRANÇAIS MISE À NIVEAU]] 15281 ou [[CORRESPONDANCE PROFESSIONNELLE]] 35093.;;;A0A0B3A3
15021;ATELIER ECRITURE;Atelier écriture;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;;;Expression écrite - 15011;;Atelier écriture - 15021###Ecriture artistique - 45029###Formation formateur spécialisé - 44587;;Employé pour les formations à tous les types d'ateliers d'écriture, organisés aussi bien dans un but littéraire que thérapeutique ou dans un but d'aide à la réinsertion. Pour les formations destinées aux formateurs ou animateurs d'ateliers d'écriture, employer [[FORMATION FORMATEUR SPÉCIALISÉ]] 44587.;;;A0A0B3A3A0
15001;PRISE NOTES;Prise notes;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;compte rendu;;Expression écrite - 15011;;;;Employé pour les formations au développement des capacités à prendre des notes et à les reformuler, le plus souvent dans le but de rédiger un compte rendu. Ne pas confondre avec [[STÉNOGRAPHIE]] 35021 ou [[ÉCRITURE ABRÉGÉE]] 35041.;;;A0A0B3A3A1
15010;RAPPORT;Rapport;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;;;Expression écrite - 15011;;;Document écrit présentant des arguments pour aider à prendre des décisions.;;;;A0A0B3A3A2
15033;REDACTION MESSAGE ELECTRONIQUE;Rédaction message électronique;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;Rédaction message électronique###courriel###courrier électronique###e-mail;;Expression écrite - 15011;;Correspondance professionnelle - 35093###Rédaction message électronique - 15033###Écriture web - 46327;;"Employé pour les formations dont l'objectif est d'acquérir une 
méthodologie pour la conception et la rédaction des messages 
électroniques.";;;A0A0B3A3A3
15000;SYNTHESE;Synthèse;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;note synthèse;;Expression écrite - 15011;;;Document synthétique élaboré à partir d'un corpus d'informations variées.;Pour les formations à la synthèse documentaire, employer [[INGÉNIERIE DOCUMENTAIRE]] 46345.;;;A0A0B3A3A4
15018;ECRIVAIN PUBLIC;Écrivain public;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;;;Expression écrite - 15011;;;Professionnel de l'écriture, l'écrivain public est capable de rédiger toutes sortes d'écrits (courriers personnels ou administratifs, curriculum vitae, discours, faire-part, récits de vie, témoignages, etc.) pour le compte de publics très divers appartenant à toutes les professions et à tous les milieux sociaux.;;;;A0A0B3A3A5
15005;METHODOLOGIE NEGOCIATION;Méthodologie négociation;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;argumentation###débat contradictoire;;Relation interpersonnelle - 15034;;Méthodologie négociation - 15005###Négociation achat - 34002###Négociation commerciale - 34582###Négociation internationale - 34271;Méthode permettant de déterminer les différentes phases d'une négociation positive.;Employé pour les formations générales dont le domaine n'est pas précisé, sinon préférer [[NÉGOCIATION ACHAT]] 34002, [[NÉGOCIATION COMMERCIALE]] 34582, [[NÉGOCIATION SOCIALE]] 33039, etc.;;;A0A0B3A4
15013;PNL;PNL;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;programmation neurolinguistique;;Relation interpersonnelle - 15034;;;Méthode d'analyse comportementale permettant d'identifier les différents styles de communication, en s'attachant au processus et à la structure de la communication orale, gestuelle, etc.;;;;A0A0B3A5
15006;RELATION INTERCULTURELLE;Relation interculturelle;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;communication interculturelle###interculturalité;;Relation interpersonnelle - 15034;;Culture civilisation - 14201###Expatriation impatriation - 33012###Management interculturel - 32120###Médiation socioculturelle - 44035###Pédagogie interculturelle - 44510###Relation interculturelle - 15006;;Employé pour les formations à une meilleure approche des relations avec les ressortissants d'un pays étranger ou les membres d'une autre culture. Double indexer avec le ou les pays correspondants.;;;A0A0B3A6
15044;ECOUTE ACTIVE;Écoute active;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;;;Relation interpersonnelle - 15034;;Écoute active - 15044###Écoute sociale - 44020;L'écoute active consiste à mettre en mots les émotions et les sentiments exprimés de manière tacite ou implicite par l'interlocuteur.;;;;A0A0B3A7
15038;VIE QUOTIDIENNE LOISIR;Vie quotidienne loisir;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;astrologie###atelier culinaire###droit vie quotidienne###modèle réduit loisir###pêche loisir###tâche ménagère###éducation ménagère;;Développement professionnel et personnel - 15054;Bricolage - 15029###Budget familial - 15008###Couture initiation - 15019###Jardinage - 15039###Mécanique familiale - 15017###Sécurité domestique - 15015;Maquettisme modèle réduit - 45513###Vie associative - 44058###Vie quotidienne loisir - 15038;;;;;A0A0B4
15029;BRICOLAGE;Bricolage;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;menuiserie familiale###électricité familiale;;Vie quotidienne loisir - 15038;;Bricolage - 15029###Petit bricolage jardinage - 42076###Électrotechnique mise à niveau - 24072;;Employé pour les formations permettant aux particuliers de réaliser des travaux d'entretien et de bricolage domestiques.;;;A0A0B4A0
15008;BUDGET FAMILIAL;Budget familial;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;;;Vie quotidienne loisir - 15038;;Budget familial - 15008###Fiscalité particulier - 13362###Économie sociale familiale - 44084;;Employé pour les formations apprenant à des particuliers à gérer leur budget. Pour les formations destinées aux acteurs sociaux, employer [[ÉCONOMIE SOCIALE FAMILIALE]] 44084.;;;A0A0B4A1
15019;COUTURE INITIATION;Couture initiation;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;couture familiale;;Vie quotidienne loisir - 15038;;Couture - 21757###Couture initiation - 15019;;Employé pour les formations destinées aux personnes souhaitant apprendre les bases de la couture. Pour les formations destinées aux professionnels, employer [[COUTURE]] 21757.;;;A0A0B4A2
15039;JARDINAGE;Jardinage;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;jardin partagé;animateur jardin partagé###gardeniser###jardinier amateur###jardinière amatrice;Vie quotidienne loisir - 15038;;Horticulture - 21027###Jardinage - 15039###Service maison - 42079###Travaux paysagers - 21046;;Employé pour les formations destinées aux particuliers. Pour celles destinées aux professionnels, employer [[HORTICULTURE]] 21027, [[TRAVAUX PAYSAGERS]] 21046 ou autres spécifiques.;;;A0A0B4A3
15017;MECANIQUE FAMILIALE;Mécanique familiale;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;;;Vie quotidienne loisir - 15038;;Mécanique automobile - 23637###Mécanique familiale - 15017;;Employé pour les formations à la réparation automobile destinées aux particuliers désirant entretenir leur véhicule. Pour celles destinées aux professionnels, employer [[MÉCANIQUE AUTOMOBILE]] 23637.;;;A0A0B4A4
15015;SECURITE DOMESTIQUE;Sécurité domestique;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;risque domestique###sécurité familiale;;Vie quotidienne loisir - 15038;;;;Employé pour les formations à la connaissance des dangers domestiques et des manières de les prévenir.;;;A0A0B4A5
46354;INFORMATION - COMMUNICATION NUMERIQUE;Information - Communication numérique;463 INFORMATION COMMUNICATION ;;;Sciences humaines, langues, pédagogie, information communication;Bibliothèque documentation - 46373###Communication entreprise - 46301###Communication information scientifique et technique - 46375###Communication numérique - 46329###Conduite projet numérique - 46339###Données ouvertes - 46309###Gestion entreprise communication information - 46302###Journalisme - 46325###Lettre électronique - 46304###Qualité information - 46351###Sensibilisation médias - 46305###Édition - 46324;;;Employé pour les formations générales aux sciences de l'information.;;;A0A1
